"id","espn_id","team_name","conference","division","feed","in_store","color","bundle_id","wiki","youtube"
"6001","103","Boston College","ACC","Atlantic","http://pipes.yahoo.com/pipes/pipe.run?_id=1bf49dba69513d6abeb8d454e2225580&_render=rss","TRUE","660000","com.reflect7.BostonFanFB","http://en.wikipedia.org/wiki/Boston_College_Eagles_football","http://www.youtube.com/results?search_query=%2BFootball""Boston College""Eagles%2B2011%2C+this+month&aq=f"
"6004","52","Florida State","ACC","Atlantic","http://pipes.yahoo.com/pipes/pipe.run?_id=eabc869c214e0d79e8852c134c5cf1c4&_render=rss","TRUE","800000","com.reflect7.FloridaStFanFB","http://en.wikipedia.org/wiki/Florida_State_Seminoles_football","http://www.youtube.com/results?search_query=%2BFootball""Florida State""Seminoles%2B2011%2C+this+month&aq=f"
"6005","59","Georgia Tech","ACC","Coastal","http://pipes.yahoo.com/pipes/pipe.run?_id=b1ad34bdf9f6b2c9b322b7cc508f38f3&_render=rss","TRUE","CC9A02","com.reflect7.GeorgiaTechFanFB","http://en.wikipedia.org/wiki/Georgia_Tech_Yellow_Jackets_football","http://www.youtube.com/results?search_query=%2BFootball""Georgia Tech""Yellow Jackets%2B2011%2C+this+month&aq=f"
"6007","2390","Miami (FL)","ACC","Coastal","http://pipes.yahoo.com/pipes/pipe.run?_id=3a1333216ad8c82d9889d9099062479d&_render=rss","TRUE","005E51","com.reflect7.MiamiFanFB","http://en.wikipedia.org/wiki/Miami_Hurricanes_football","http://www.youtube.com/results?search_query=%2BFootball""Miami""Hurricanes%2B2011%2C+this+month&aq=f"
"6008","153","North Carolina","ACC","Coastal","http://pipes.yahoo.com/pipes/pipe.run?_id=180225c0ca909eb197fd98c2eec8841a&_render=rss","TRUE","5FB1E0","com.reflect7.NorthCarolinaFanFB","http://en.wikipedia.org/wiki/North_Carolina_Tar_Heels_football","http://www.youtube.com/results?search_query=%2BFootball""North Carolina""Tar Heels%2B2011%2C+this+month&aq=f"
"6011","259","Virginia Tech","ACC","Coastal","http://pipes.yahoo.com/pipes/pipe.run?_id=1167ff8b8bf5f0eee38881657baef52a&_render=rss","TRUE","942942","com.reflect7.VirginiaTechFanFB","http://en.wikipedia.org/wiki/Virginia_Tech_Hokies_football","http://www.youtube.com/results?search_query=%2BFootball""Virginia Tech""Hokies%2B2011%2C+this+month&aq=f"
"6014","38","Colorado","Pacific-12","South","http://pipes.yahoo.com/pipes/pipe.run?_id=44676f76d7d83d1cc89eebafbf18ecca&_render=rss","TRUE","9B9139","com.reflect7.ColoradoFanFB","http://en.wikipedia.org/wiki/Colorado_Buffaloes_football","http://www.youtube.com/results?search_query=%2BFootball""Colorado""Buffaloes%2B2011%2C+this+month&aq=f"
"6016","2305","Kansas","Big 12","North","http://pipes.yahoo.com/pipes/pipe.run?_id=da2a28f241a04be1d84acb5348864a4f&_render=rss","TRUE","233288","com.reflect7.KansasFanFB","http://en.wikipedia.org/wiki/Kansas_Jayhawks_football","http://www.youtube.com/results?search_query=%2BFootball""Kansas""Jayhawks%2B2011%2C+this+month&aq=f"
"6018","142","Missouri","Big 12","North","http://pipes.yahoo.com/pipes/pipe.run?_id=74b807940cb660f66b59c76847a900ec&_render=rss","TRUE","000000","com.reflect7.MissouriFanFB","http://en.wikipedia.org/wiki/Missouri_Tigers_football","http://www.youtube.com/results?search_query=%2BFootball""Missouri""Tigers%2B2011%2C+this+month&aq=f"
"6019","158","Nebraska","Big Ten","Legends","http://pipes.yahoo.com/pipes/pipe.run?_id=3PjV_Wgw3hGtQ0EEbrsjiw&_render=rss","TRUE","CD0205","com.reflect7.NebraskaFanFB","http://en.wikipedia.org/wiki/Nebraska_Cornhuskers_football","http://www.youtube.com/results?search_query=%2BFootball""Nebraska""Cornhuskers%2B2011%2C+this+month&aq=f"
"6020","201","Oklahoma","Big 12","South","http://pipes.yahoo.com/pipes/pipe.run?_id=LO4NIScy3hG_ZBeDbbsjiw&_render=rss","TRUE","990000","com.reflect7.OklahomaFanFB","http://en.wikipedia.org/wiki/Oklahoma_Sooners_football","http://www.youtube.com/results?search_query=%2BFootball""Oklahoma""Sooners%2B2011%2C+this+month&aq=f"
"6021","197","Oklahoma State","Big 12","South","http://pipes.yahoo.com/pipes/pipe.run?_id=4cefebb7df850415fe929a50dec71e74&_render=rss","TRUE","E75301","com.reflect7.OklahomaStFanFB","http://en.wikipedia.org/wiki/Oklahoma_State_Cowboys_football","http://www.youtube.com/results?search_query=%2BFootball""Oklahoma State""Cowboys%2B2011%2C+this+month&aq=f"
"6022","251","Texas","Big 12","South","http://pipes.yahoo.com/pipes/pipe.run?_id=aqYaKB0y3hGi_ra_wTSbTQ&_render=rss","TRUE","C16A03","com.reflect7.TexasFanFB","http://en.wikipedia.org/wiki/Texas_Longhorns_football","http://www.youtube.com/results?search_query=%2BFootball""Texas""Longhorns%2B2011%2C+this+month&aq=f"
