"id","espn_id","team_name","conference","division","feed","in_store","color","bundle_id","wiki","youtube","nickname"
"101","dal","Dallas","NFC","East","http://pipes.yahoo.com/pipes/pipe.run?_id=f9f406a6c358049a66d5c59b27e37843&_render=rss","TRUE","6F6F8F","com.reflect7.ProDallasFanFB","http://en.wikipedia.org/wiki/Dallas_Cowboys","http://www.youtube.com/results?search_query=%2BFootball+Dallas Cowboys+%2C+this+week&aq=f","Cowboys"
"119","nyg","NY Giants","NFC","East","http://pipes.yahoo.com/pipes/pipe.run?_id=23c0d223f3637810bff8cedc17169f35&_render=rss","TRUE","101061","com.reflect7.ProNYGFanFB","http://en.wikipedia.org/wiki/New_York_Giants","http://www.youtube.com/results?search_query=%2BFootball%22New+York+Giants%22%2C+this+week&aq=f","Giants"
"103","phi","Philadelphia","NFC","East","http://pipes.yahoo.com/pipes/pipe.run?_id=f5326c69a8d87dec92787346f081191b&_render=rss","TRUE","165C4C","com.reflect7.ProPhiladelphiaFanFB","http://en.wikipedia.org/wiki/Philadelphia_Eagles","http://www.youtube.com/results?search_query=%2BFootball+Philadelphia Eagles+%2C+this+week&aq=f","Eagles"
"104","wsh","Washington","NFC","East","http://pipes.yahoo.com/pipes/pipe.run?_id=d20076b3a8cad9fb39a6111ceb92db4e&_render=rss","TRUE","660803","com.reflect7.ProWashingtonFanFB","http://en.wikipedia.org/wiki/Washington_Redskins","http://www.youtube.com/results?search_query=%2BFootball+Washington Redskins+%2C+this+week&aq=f","Redskins"
"116","buf","Buffalo","AFC","East","http://pipes.yahoo.com/pipes/pipe.run?_id=58b8108268ee656a17217eede535f0d6&_render=rss","TRUE","08008E","com.reflect7.ProBuffaloFanFB","http://en.wikipedia.org/wiki/Buffalo_Bills","http://www.youtube.com/results?search_query=%2BFootball+Buffalo Bills+%2C+this+week&aq=f","Bills"
"117","mia","Miami","AFC","East","http://pipes.yahoo.com/pipes/pipe.run?_id=812e5e8cfd8dd21daee863b82a14e0cd&_render=rss","TRUE","005E51","com.reflect7.ProMiamiFanFB","http://en.wikipedia.org/wiki/Miami_Dolphins","http://www.youtube.com/results?search_query=%2BFootball+Miami Dolphins+%2C+this+week&aq=f","Dolphins"
"118","ne","New England","AFC","East","http://pipes.yahoo.com/pipes/pipe.run?_id=377571cb05363146d482595a127d7774&_render=rss","TRUE","00005C","com.reflect7.ProNewEnglandFanFB","http://en.wikipedia.org/wiki/New_England_Patriots","http://www.youtube.com/results?search_query=%2BFootball+New England Patriots+%2C+this+week&aq=f","Patriots"
"102","nyj","NY Jets","AFC","East","http://pipes.yahoo.com/pipes/pipe.run?_id=6b6471fbfa01520fe60b3d28b75550f8&_render=rss","TRUE","289C30","com.reflect7.ProNYJFanFB","http://en.wikipedia.org/wiki/New_York_Jets","http://www.youtube.com/results?search_query=%2BFootball%22New+York+Jets%22%2C+this+week&aq=f&aql=f","Jets"
"105","ari","Arizona","NFC","West","http://pipes.yahoo.com/pipes/pipe.run?_id=132daee08286b015ef718213ccef34e5&_render=rss","TRUE","8E2820","com.reflect7.ProArizonaFanFB","http://en.wikipedia.org/wiki/Arizona_Cardinals","http://www.youtube.com/results?search_query=%2BFootball+Arizona Cardinals+%2C+this+week&aq=f","Cardinals"
"106","sf","San Francisco","NFC","West","http://pipes.yahoo.com/pipes/pipe.run?_id=c4172c480973a50b0339252a11e6cf88&_render=rss","TRUE","B71028","com.reflect7.ProSFFanFB","http://en.wikipedia.org/wiki/San_Francisco_49ers","http://www.youtube.com/results?search_query=%2BFootball+San Francisco 49ers+%2C+this+week&aq=f","49ers"
"107","sea","Seattle","NFC","West","http://pipes.yahoo.com/pipes/pipe.run?_id=ce6e39065fc150bfcdd83c12b1b31bdd&_render=rss","TRUE","134884","com.reflect7.ProSeattleFanFB","http://en.wikipedia.org/wiki/Seattle_Seahawks","http://www.youtube.com/results?search_query=%2BFootball+Seattle Seahawks+%2C+this+week&aq=f","Seahawks"
"108","stl","St. Louis","NFC","West","http://pipes.yahoo.com/pipes/pipe.run?_id=f715611fdd9dcb8d7410b57a4e1e8dd6&_render=rss","TRUE","262E64","com.reflect7.ProStLouisFanFB","http://en.wikipedia.org/wiki/St_Louis_Rams","http://www.youtube.com/results?search_query=%2BFootball+St Louis Rams+%2C+this+week&aq=f","Rams"
"120","den","Denver","AFC","West","http://pipes.yahoo.com/pipes/pipe.run?_id=17235b52e5d9adf68957a61945c1683d&_render=rss","TRUE","F74800","com.reflect7.ProDenverFanFB","http://en.wikipedia.org/wiki/Denver_Broncos","http://www.youtube.com/results?search_query=%2BFootball+Denver Broncos+%2C+this+week&aq=f","Broncos"
"121","kc","Kansas City","AFC","West","http://pipes.yahoo.com/pipes/pipe.run?_id=772f1d0da2e6bff47c9dfb007c7415c3&_render=rss","TRUE","A40000","com.reflect7.ProKansasCityFanFB","http://en.wikipedia.org/wiki/Kansas_City_Chiefs","http://www.youtube.com/results?search_query=%2BFootball+Kansas City Chiefs+%2C+this+week&aq=f","Chiefs"
"122","oak","Oakland","AFC","West","http://pipes.yahoo.com/pipes/pipe.run?_id=105cd4d5f20e685fcbaeb4f8bdb50ab6&_render=rss","TRUE","666666","com.reflect7.ProOaklandFanFB","http://en.wikipedia.org/wiki/Oakland_Raiders","http://www.youtube.com/results?search_query=%2BFootball+Oakland Raiders+%2C+this+week&aq=f","Raiders"
"123","sd","San Diego","AFC","West","http://pipes.yahoo.com/pipes/pipe.run?_id=efff0abe77b89a9990f87c14a59577b2&_render=rss","TRUE","00005C","com.reflect7.ProSanDiegoFanFB","http://en.wikipedia.org/wiki/San_Diego_Chargers","http://www.youtube.com/results?search_query=%2BFootball+San Diego Chargers+%2C+this+week&aq=f","Chargers"
"109","chi","Chicago","NFC","North","http://pipes.yahoo.com/pipes/pipe.run?_id=cdbfbcf69f8c2cf798f5d2aa43911f3c&_render=rss","TRUE","DF4608","com.reflect7.ProChicagoFanFB","http://en.wikipedia.org/wiki/Chicago_Bears","http://www.youtube.com/results?search_query=%2BFootball+Chicago Bears+%2C+this+week&aq=f","Bears"
"110","det","Detroit","NFC","North","http://pipes.yahoo.com/pipes/pipe.run?_id=b42b515ed980ce8bcb57e8765cb3cd1e&_render=rss","TRUE","105897","com.reflect7.ProDetroitFanFB","http://en.wikipedia.org/wiki/Detroit_Lions","http://www.youtube.com/results?search_query=%2BFootball+Detroit Lions+%2C+this+week&aq=f","Lions"
"111","gb","Green Bay","NFC","North","http://pipes.yahoo.com/pipes/pipe.run?_id=dd8f3ba6355baf9ec66856976cc60dfc&_render=rss","TRUE","F7B110","com.reflect7.ProGreenBayFanFB","http://en.wikipedia.org/wiki/Green_Bay_Packers","http://www.youtube.com/results?search_query=%2BFootball+Green Bay Packers+%2C+this+week&aq=f","Packers"
"112","min","Minnesota","NFC","North","http://pipes.yahoo.com/pipes/pipe.run?_id=7e278dbde511f836b4064db8ec24ec81&_render=rss","TRUE","33006B","com.reflect7.ProMinnesotaFanFB","http://en.wikipedia.org/wiki/Minnesota_Vikings","http://www.youtube.com/results?search_query=%2BFootball+Minnesota Vikings+%2C+this+week&aq=f","Vikings"
"124","bal","Baltimore","AFC","North","http://pipes.yahoo.com/pipes/pipe.run?_id=8cba51b176308eb7ebb2b2328f38acab&_render=rss","TRUE","361056","com.reflect7.ProBaltimoreFanFB","http://en.wikipedia.org/wiki/Baltimore_Ravens","http://www.youtube.com/results?search_query=%2BFootball+Baltimore Ravens+%2C+this+week&aq=f","Ravens"
